dataset,sequence_id,category,num_frames,priority,pick_rank,num_frames,median_area_ratio,min_area_ratio,max_area_ratio,scale_variation,aspect_ratio_variation,center_motion,normalized_motion,small_object,fast_motion,occlusion
localvids,dataset5__person12_1,person12,601,0.43639,178,601.0,0.00361,0.00283,0.00484,0.03203,0.04599,2.32891,0.04018,0.93989,0.08916,
localvids,dataset1__surfer_1,surfer,1,0.36605,179,1.0,0.00358,0.00358,0.00358,0.0,0.0,0.0,0.0,0.94016,0.0,
localvids,dataset2__Horse1,Horse,1,0.36073,180,1.0,0.00433,0.00433,0.00433,0.0,0.0,0.0,0.0,0.93416,0.0,
localvids,dataset4__person14,person,2923,0.6068,181,2923.0,0.00138,0.0002,0.00251,0.09765,0.16042,1.71888,0.04854,0.96279,0.12211,
localvids,dataset2__Soccer1,Soccer,1,0.36855,182,1.0,0.00325,0.00325,0.00325,0.0,0.0,0.0,0.0,0.94297,0.0,
localvids,dataset5__building4,building,1,0.36666,183,1.0,0.0035,0.0035,0.0035,0.0,0.0,0.0,0.0,0.94084,0.0,
localvids,dataset3__car7_2,car7,1,0.37971,184,1.0,0.00197,0.00197,0.00197,0.0,0.0,0.0,0.0,0.95556,0.0,
localvids,dataset3__human,human,1,0.36712,185,1.0,0.00344,0.00344,0.00344,0.0,0.0,0.0,0.0,0.94137,0.0,
localvids,dataset3__parterre2,parterre,1,0.38738,186,1.0,0.00128,0.00128,0.00128,0.0,0.0,0.0,0.0,0.96422,0.0,
localvids,dataset2__Motor1,Motor,1,0.3837,187,1.0,0.0016,0.0016,0.0016,0.0,0.0,0.0,0.0,0.96006,0.0,
localvids,dataset2__RaceCar1,RaceCar,1,0.39196,188,1.0,0.00094,0.00094,0.00094,0.0,0.0,0.0,0.0,0.96938,0.0,
localvids,dataset3__bike9_1,bike9,1,0.20212,189,1.0,0.05988,0.05988,0.05988,0.0,0.0,0.0,0.0,0.7553,0.0,
localvids,dataset1__basketball,basketball,1,0.36261,190,1.0,0.00406,0.00406,0.00406,0.0,0.0,0.0,0.0,0.93628,0.0,
localvids,dataset5__group2_2,group2,1,0.37895,191,1.0,0.00205,0.00205,0.00205,0.0,0.0,0.0,0.0,0.9547,0.0,
localvids,dataset1__sheeps,sheeps,1,0.38221,192,1.0,0.00173,0.00173,0.00173,0.0,0.0,0.0,0.0,0.95838,0.0,
localvids,dataset1__Car_video_2,Car_video,678,0.28646,193,678.0,0.10511,0.01269,0.15269,0.24606,0.09259,3.2612,0.01223,0.67579,0.05079,
localvids,dataset5__person4_2,person4,1,0.30514,194,1.0,0.01652,0.01652,0.01652,0.0,0.0,0.0,0.0,0.87147,0.0,
localvids,dataset5__person5_1,person5,1,0.32489,195,1.0,0.01129,0.01129,0.01129,0.0,0.0,0.0,0.0,0.89375,0.0,
localvids,dataset3__bike7_1,bike7,1,0.28441,196,1.0,0.02308,0.02308,0.02308,0.0,0.0,0.0,0.0,0.84809,0.0,
localvids,dataset5__person19_1,person19,1,0.24225,197,1.0,0.03978,0.03978,0.03978,0.0,0.0,0.0,0.0,0.80055,0.0,
localvids,dataset5__bird1_1,bird1,253,0.74444,198,253.0,0.00152,0.0001,0.00413,0.22798,0.39716,15.85788,0.45961,0.961,0.59217,
localvids,dataset5__uav1_1,uav1,1555,0.75492,199,1555.0,0.00333,0.00039,0.0168,0.40725,0.35994,3.14936,0.10743,0.94226,0.30429,
localvids,dataset3__uav1,uav,751,0.79953,200,751.0,0.00041,0.00024,0.00115,0.14304,0.23789,5.29438,0.25578,0.97975,0.93841,
localvids,dataset3__basketball_player1,basketball_player,1047,0.68614,201,1047.0,0.00124,0.00013,0.00286,0.24936,0.31876,3.2875,0.106,0.96477,0.30313,
localvids,dataset2__BMX2,BMX,160,0.57548,202,160.0,0.00632,0.00261,0.01981,0.16906,0.3837,7.84466,0.10499,0.92049,0.20764,
localvids,dataset3__group2,group,1534,0.65336,203,1534.0,0.00013,8e-05,0.00026,0.09674,0.30974,1.37894,0.12098,0.98859,0.25507,
localvids,dataset3__car12,car,78,0.903,204,78.0,0.00077,0.00031,0.07314,1.07091,0.14741,10.50232,0.12178,0.97225,0.2554,
localvids,dataset2__StreetBasketball2,StreetBasketball,114,0.6088,205,114.0,0.00174,0.00118,0.0024,0.08975,0.10822,9.88883,0.25168,0.95833,0.5921,
localvids,dataset5__bike3,bike,433,0.72553,206,433.0,0.00019,3e-05,0.00218,0.50792,0.2428,1.36607,0.07801,0.98638,0.18257,
localvids,dataset3__football_player1_1,football_player1,519,0.7181,207,519.0,0.0003,0.00011,0.0007,0.20928,0.29771,3.46314,0.20562,0.98273,0.51041,
localvids,dataset5__car1_2,car1,877,0.58934,208,877.0,0.0011,0.00039,0.00161,0.10957,0.31457,1.95929,0.06074,0.96686,0.1578,
localvids,dataset5__wakeboard4,wakeboard,697,0.60867,209,697.0,0.00276,0.00111,0.0051,0.18477,0.33825,4.05461,0.08052,0.94744,0.19125,
localvids,dataset2__Animal4,Animal,167,0.64898,210,167.0,0.00443,0.00173,0.01146,0.20207,0.25914,15.57642,0.24799,0.93346,0.51261,
localvids,dataset3__car16_3,car16,1,0.25388,211,1.0,0.03472,0.03472,0.03472,0.0,0.0,0.0,0.0,0.81367,0.0,
localvids,dataset2__Car5,Car,1,0.38291,212,1.0,0.00167,0.00167,0.00167,0.0,0.0,0.0,0.0,0.95918,0.0,
localvids,dataset2__RcCar5,RcCar,330,0.66657,213,330.0,0.00414,0.00159,0.02376,0.31936,0.27797,12.26346,0.17943,0.93565,0.36891,
localvids,dataset3__car6_2,car6,1,0.38745,214,1.0,0.00127,0.00127,0.00127,0.0,0.0,0.0,0.0,0.96429,0.0,
localvids,dataset5__group1_4,group1,949,0.557,215,949.0,0.00242,0.00076,0.00426,0.1332,0.24552,2.31127,0.05154,0.95078,0.1166,
localvids,dataset2__SnowBoarding6,SnowBoarding,100,0.55805,216,100.0,0.00376,0.00168,0.00618,0.12257,0.27194,6.10566,0.1021,0.93865,0.26543,
localvids,dataset2__Surfing04,Surfing,158,0.6163,217,158.0,0.00247,0.0014,0.00655,0.21998,0.37352,5.14759,0.10727,0.95031,0.20123,
localvids,dataset5__person14_1,person14,847,0.51915,218,847.0,0.00128,0.0002,0.00186,0.09921,0.14197,1.36658,0.04396,0.96422,0.09505,
localvids,dataset5__group3_1,group3,1567,0.5212,219,1567.0,0.00114,0.0003,0.0015,0.06775,0.13181,0.57112,0.01829,0.96625,0.0501,
localvids,dataset5__truck2,truck,385,0.58915,220,385.0,0.00084,0.00041,0.00266,0.23322,0.11089,3.08414,0.10236,0.97102,0.24165,
localvids,dataset2__SUP2,SUP,133,0.5404,221,133.0,0.00429,0.00227,0.0084,0.1681,0.18627,7.28283,0.11756,0.93452,0.23101,
localvids,dataset5__boat6,boat,805,0.78417,222,805.0,0.0016,0.00044,0.12574,0.92161,0.06218,0.82235,0.01623,0.95994,0.04522,
localvids,dataset2__MountainBike1,MountainBike,109,0.53385,223,109.0,0.00199,0.00109,0.00285,0.1095,0.31915,2.01898,0.04757,0.95544,0.09144,
localvids,dataset5__person18,person,1393,0.49749,224,1393.0,0.03972,0.00396,0.07076,0.19256,0.46417,2.47937,0.0137,0.8007,0.03135,
localvids,dataset5__building2,building,577,0.51157,225,577.0,0.00214,0.00148,0.0074,0.22283,0.05709,1.2719,0.02554,0.95374,0.05245,
localvids,dataset3__car7_1,car7,1,0.35453,226,1.0,0.0053,0.0053,0.0053,0.0,0.0,0.0,0.0,0.92717,0.0,
localvids,dataset3__human2,human,224,0.56736,227,224.0,0.01398,0.0053,0.06733,0.23813,0.28808,28.10537,0.15738,0.88178,0.29487,
localvids,dataset1__basketball_2,basketball,1,0.38798,228,1.0,0.00123,0.00123,0.00123,0.0,0.0,0.0,0.0,0.96489,0.0,
localvids,dataset5__group2_1,group2,1,0.38473,229,1.0,0.0015,0.0015,0.0015,0.0,0.0,0.0,0.0,0.96122,0.0,
localvids,dataset1__Car_video,Car_video,1,0.25247,230,1.0,0.03532,0.03532,0.03532,0.0,0.0,0.0,0.0,0.81207,0.0,
localvids,dataset5__person19_2,person19,1,0.33144,231,1.0,0.00978,0.00978,0.00978,0.0,0.0,0.0,0.0,0.90113,0.0,
localvids,dataset5__uav2,uav,1,0.40866,232,1.0,0.00014,0.00014,0.00014,0.0,0.0,0.0,0.0,0.98821,0.0,
localvids,dataset2__BMX4,BMX,364,0.68319,233,364.0,0.01141,0.00175,0.03569,0.29426,0.48084,8.82921,0.10731,0.89318,0.39986,
localvids,dataset4__group2,group,1,0.38473,234,1.0,0.0015,0.0015,0.0015,0.0,0.0,0.0,0.0,0.96122,0.0,
localvids,dataset4__car6,car,4861,0.78987,235,4861.0,0.0228,0.00215,0.18632,0.52402,0.45663,1.58962,0.01106,0.84902,0.02957,
localvids,dataset3__bike3,bike,234,0.54834,236,234.0,0.00574,0.00269,0.00913,0.13903,0.43093,3.47943,0.03105,0.92421,0.07987,
localvids,dataset5__wakeboard8,wakeboard,1543,0.72716,237,1543.0,0.00037,0.00011,0.00316,0.369,0.26266,2.08353,0.09599,0.98065,0.22565,
localvids,dataset2__Animal2,Animal,149,0.6556,238,149.0,0.00078,0.00032,0.00212,0.25994,0.39551,3.47531,0.11866,0.97205,0.2001,
localvids,dataset3__car16_2,car16,254,0.64782,239,254.0,0.01299,0.00281,0.0586,0.4594,0.37705,15.45886,0.09015,0.88604,0.18346,
localvids,dataset2__Car8,Car,319,0.63215,240,319.0,0.0047,0.00298,0.04951,0.35699,0.20169,4.24295,0.0618,0.93142,0.2805,
localvids,dataset2__RcCar7,RcCar,287,0.67383,241,287.0,0.00156,0.00079,0.00398,0.16681,0.25821,10.29132,0.26648,0.96047,0.54868,
localvids,dataset5__car6_4,car6,973,0.6202,242,973.0,0.00448,0.00215,0.02324,0.45909,0.17242,1.28798,0.01355,0.93306,0.03002,
localvids,dataset5__group1_2,group1,1183,0.53104,243,1183.0,0.00272,0.00075,0.0034,0.10066,0.21602,1.21304,0.02572,0.9478,0.07184,
localvids,dataset2__Surfing10,Surfing,165,0.57619,244,165.0,0.00087,0.00035,0.00131,0.13249,0.23886,2.70397,0.0977,0.97043,0.23832,
localvids,dataset3__group3_3,group3,300,0.54361,245,300.0,0.00376,0.00128,0.00964,0.18009,0.17627,7.94002,0.091,0.9387,0.19963,
localvids,dataset3__truck,truck,1,0.37144,246,1.0,0.00289,0.00289,0.00289,0.0,0.0,0.0,0.0,0.94624,0.0,
localvids,dataset5__boat7,boat,535,0.56387,247,535.0,0.01107,0.005,0.02324,0.24107,0.41683,3.72578,0.03621,0.89477,0.06633,
localvids,dataset4__person4,person,1,0.38132,248,1.0,0.00182,0.00182,0.00182,0.0,0.0,0.0,0.0,0.95738,0.0,
localvids,dataset5__building5,building,481,0.45861,249,481.0,0.00148,0.00148,0.00172,0.00961,0.0032,1.48969,0.0401,0.96153,0.18954,
localvids,dataset3__human1,human,1,0.31853,250,1.0,0.01286,0.01286,0.01286,0.0,0.0,0.0,0.0,0.88658,0.0,
localvids,dataset1__Car_video_4,Car_video,1,0.40079,251,1.0,0.00043,0.00043,0.00043,0.0,0.0,0.0,0.0,0.97933,0.0,
localvids,dataset3__uav2,uav,1520,0.87019,252,1520.0,0.00057,0.00012,0.01901,0.48313,0.29973,7.08482,0.24528,0.97608,0.57915,
localvids,dataset3__group4,group,329,0.5465,253,329.0,0.00266,0.00134,0.00998,0.27292,0.1364,3.8241,0.04443,0.94842,0.08646,
localvids,dataset5__car2,car,1321,0.62537,254,1321.0,0.00076,0.00028,0.00127,0.13325,0.41323,0.92516,0.03356,0.97238,0.08247,
localvids,dataset3__bike5,bike,1188,0.61461,255,1188.0,0.00089,0.0001,0.00161,0.11172,0.24418,3.06371,0.10957,0.97019,0.26365,
localvids,dataset5__wakeboard1,wakeboard,421,0.64071,256,421.0,0.00604,0.00071,0.02465,0.43362,0.25125,4.7639,0.06602,0.92227,0.17442,
localvids,dataset3__car16_1,car16,100,0.43273,257,100.0,0.01725,0.01135,0.04754,0.22174,0.13475,5.07522,0.02486,0.86867,0.03071,
localvids,dataset2__Car4,Car,1,0.34828,258,1.0,0.00638,0.00638,0.00638,0.0,0.0,0.0,0.0,0.92012,0.0,
localvids,dataset2__RcCar8,RcCar,211,0.71537,259,211.0,0.00326,0.00079,0.00948,0.28588,0.25207,15.90993,0.29505,0.94295,0.6128,
localvids,dataset5__car6_1,car6,487,0.42217,260,487.0,0.02374,0.01436,0.04892,0.19298,0.17456,0.92371,0.0059,0.84592,0.01334,
localvids,dataset2__Surfing06,Surfing,1,0.3733,261,1.0,0.00267,0.00267,0.00267,0.0,0.0,0.0,0.0,0.94834,0.0,
localvids,dataset5__group3_4,group3,1159,0.56147,262,1159.0,0.0014,0.00034,0.0034,0.15268,0.17926,1.83973,0.05546,0.96256,0.10401,
localvids,dataset5__boat2,boat,799,0.39104,263,799.0,0.02734,0.01576,0.03568,0.13899,0.1249,0.65294,0.00419,0.83464,0.01513,
localvids,dataset4__person7,person,2065,0.67583,264,2065.0,0.00592,0.00062,0.01564,0.19278,0.40227,6.94552,0.09448,0.92309,0.25719,
localvids,dataset5__building1,building,1,0.37603,265,1.0,0.00236,0.00236,0.00236,0.0,0.0,0.0,0.0,0.95141,0.0,
localvids,dataset3__human4,human,1,0.33535,266,1.0,0.00892,0.00892,0.00892,0.0,0.0,0.0,0.0,0.90555,0.0,
localvids,dataset5__uav6,uav,109,0.94647,267,109.0,0.00025,0.00021,0.00519,0.70038,0.17278,6.43421,0.3759,0.98404,0.8556,
localvids,dataset4__group1,group,4873,0.69668,268,4873.0,0.00272,0.00029,0.00549,0.14893,0.21516,1.90422,0.0416,0.9478,0.11116,
localvids,dataset5__car12,car,499,0.82134,269,499.0,0.00111,0.00011,0.00764,0.58741,0.31037,5.76494,0.2027,0.96665,0.41667,
localvids,dataset3__bike8,bike,327,0.51224,270,327.0,0.00797,0.00329,0.0238,0.25581,0.16994,5.21284,0.04079,0.9107,0.07423,
localvids,dataset5__wakeboard9,wakeboard,355,0.57282,271,355.0,0.00043,0.00028,0.00089,0.13905,0.15954,2.15611,0.10194,0.97917,0.24003,
localvids,dataset2__RcCar4,RcCar,1,0.35571,272,1.0,0.00511,0.00511,0.00511,0.0,0.0,0.0,0.0,0.9285,0.0,
localvids,dataset5__car6_5,car6,937,0.54022,273,937.0,0.02379,0.01377,0.073,0.20688,0.51638,2.18959,0.01349,0.84576,0.03333,
localvids,dataset3__group3_2,group3,1,0.33925,274,1.0,0.00811,0.00811,0.00811,0.0,0.0,0.0,0.0,0.90993,0.0,
localvids,dataset5__boat4,boat,553,0.43584,275,553.0,0.01868,0.00845,0.0226,0.09703,0.28861,0.6095,0.0049,0.86331,0.0173,
localvids,dataset5__person9,person,661,0.5274,276,661.0,0.0057,0.0026,0.01509,0.14872,0.23143,4.93034,0.06587,0.92451,0.12546,
localvids,dataset3__human5,human,1,0.32833,277,1.0,0.01048,0.01048,0.01048,0.0,0.0,0.0,0.0,0.89762,0.0,
localvids,dataset5__uav4,uav,157,0.79009,278,157.0,0.00034,0.00034,0.00207,0.3427,0.19119,4.77544,0.3404,0.9816,0.75147,
localvids,dataset3__car15,car,159,0.60122,279,159.0,0.00277,0.00093,0.02767,0.52548,0.02401,3.59783,0.03818,0.94739,0.07959,
localvids,dataset3__bike6,bike,1118,0.7205,280,1118.0,0.00374,0.0002,0.06879,0.55297,0.28982,4.27168,0.04837,0.93885,0.11769,
localvids,dataset5__wakeboard3,wakeboard,823,0.74042,281,823.0,0.00076,0.00027,0.00614,0.441,0.31458,2.5825,0.08146,0.9725,0.25064,
localvids,dataset2__RcCar6,RcCar,1,0.37523,282,1.0,0.00245,0.00245,0.00245,0.0,0.0,0.0,0.0,0.95051,0.0,
localvids,dataset5__car6_3,car6,1147,0.61815,283,1147.0,0.01012,0.00229,0.03034,0.43706,0.28776,0.92324,0.00874,0.89943,0.02564,
localvids,dataset5__group3_3,group3,1543,0.60175,284,1543.0,0.00159,0.00075,0.00301,0.12227,0.33545,1.50705,0.04053,0.96016,0.09619,
localvids,dataset5__boat3,boat,1,0.29904,285,1.0,0.01833,0.01833,0.01833,0.0,0.0,0.0,0.0,0.8646,0.0,
localvids,dataset5__person11,person,721,0.58957,286,721.0,0.00347,0.00134,0.00676,0.13889,0.41428,3.28819,0.05778,0.94109,0.12645,
localvids,dataset3__uav4,uav,1533,0.78293,287,1533.0,0.00084,1e-05,0.00407,0.29268,0.26048,6.15778,0.23287,0.97102,0.57111,
localvids,dataset3__car14,car,1690,0.73121,288,1690.0,0.00049,0.0001,0.00181,0.47388,0.23048,1.15354,0.05204,0.97776,0.11781,
localvids,dataset5__bike2,bike,553,0.60712,289,553.0,0.00016,6e-05,0.00041,0.20305,0.25978,0.69328,0.05236,0.98754,0.12599,
localvids,dataset5__wakeboard2,wakeboard,733,0.60766,290,733.0,0.00287,0.00088,0.00869,0.21281,0.24693,5.00786,0.09601,0.94642,0.23715,
localvids,dataset5__boat1,boat,901,0.47827,291,901.0,0.01465,0.01125,0.05365,0.22372,0.16912,0.82623,0.00633,0.87897,0.01863,
localvids,dataset4__person19,person,1,0.24225,292,1.0,0.03978,0.03978,0.03978,0.0,0.0,0.0,0.0,0.80055,0.0,
localvids,dataset5__uav8,uav,301,0.8126,293,301.0,0.00038,0.00021,0.00411,0.47647,0.20569,4.28014,0.31718,0.98061,0.6206,
localvids,dataset4__car16,car,1993,0.90443,294,1993.0,0.0031,0.00037,0.26183,0.94988,0.30281,3.29473,0.04837,0.94433,0.10222,
localvids,dataset3__bike2,bike,840,0.54991,295,840.0,0.00194,0.00159,0.00322,0.07909,0.35575,1.65773,0.02519,0.95596,0.05435,
localvids,dataset5__wakeboard7,wakeboard,1,0.40023,296,1.0,0.00045,0.00045,0.00045,0.0,0.0,0.0,0.0,0.9787,0.0,
localvids,dataset5__boat5,boat,1,0.27471,297,1.0,0.02652,0.02652,0.02652,0.0,0.0,0.0,0.0,0.83715,0.0,
localvids,dataset5__person3,person,643,0.52227,298,643.0,0.00301,0.00187,0.00748,0.19947,0.06786,2.30434,0.04163,0.94516,0.13239,
localvids,dataset3__uav5,uav,426,0.48223,299,426.0,0.00124,0.00081,0.0017,0.06246,0.13351,1.17771,0.03488,0.96483,0.07321,
localvids,dataset3__car3,car,2371,0.59232,300,2371.0,0.00012,6e-05,0.00021,0.08994,0.11927,0.56214,0.05303,0.98907,0.10941,
localvids,dataset5__bike1,bike,3085,0.75633,301,3085.0,0.00594,0.00214,0.08002,0.53469,0.28216,2.53699,0.02815,0.92293,0.06438,
localvids,dataset5__wakeboard6,wakeboard,1,0.40048,302,1.0,0.00044,0.00044,0.00044,0.0,0.0,0.0,0.0,0.97899,0.0,
localvids,dataset4__person17,person,2347,0.57776,303,2347.0,0.00217,0.00078,0.00932,0.15887,0.13507,1.39927,0.02919,0.95342,0.06577,
localvids,dataset5__uav3,uav,265,0.77401,304,265.0,0.00069,0.00029,0.00275,0.32749,0.13613,5.38912,0.33457,0.97365,0.77817,
localvids,dataset5__car4,car,1,0.38813,305,1.0,0.00122,0.00122,0.00122,0.0,0.0,0.0,0.0,0.96506,0.0,
localvids,dataset5__person22,person,199,0.51997,306,199.0,0.00071,0.00037,0.001,0.12332,0.11112,1.56222,0.06668,0.97332,0.15456,
localvids,dataset5__uav7,uav,1,0.37726,307,1.0,0.00223,0.00223,0.00223,0.0,0.0,0.0,0.0,0.9528,0.0,
localvids,dataset3__car10,car,291,0.79119,308,291.0,0.00049,0.00015,0.02316,0.83346,0.17422,2.71001,0.03953,0.97788,0.09379,
localvids,dataset5__person13,person,883,0.45809,309,883.0,0.00392,0.003,0.00453,0.04971,0.07348,1.70482,0.02868,0.93741,0.08742,
